,Document,Similarity_topic3
53,17504295,0.6069096108569791
181,23106360,0.5977240930365929
18,15510603,0.5936054686054686
22,15685537,0.5888585080143521
90,18718191,0.5833978613978614
191,23459373,0.5817565803142727
123,20512492,0.5775559910175294
70,18180842,0.5747025070888706
33,16401709,0.572383698676802
83,18487909,0.5722138972138971
16,15283152,0.5698752805460122
122,20469993,0.563610454716224
54,17512858,0.5632413802672424
23,15709888,0.5621275649577537
75,18312355,0.5592793213076231
192,23513883,0.5586633274133275
102,19381023,0.5542517772631409
10,14682111,0.5538033529558953
25,15815732,0.5494831006735769
9,12897659,0.5494723759146836
146,21677482,0.5484496774269502
20,15537379,0.5483936896436896
39,16718773,0.5465880710198892
92,18778561,0.542999958131537
134,21177210,0.5413526673943341
13,14735360,0.5411325248825248
45,17090188,0.538776196026196
101,19335275,0.5344836467998233
47,17193822,0.5336688345947604
239,25554490,0.5329604236862302
48,17196360,0.530407314907315
68,18006774,0.5297176842765079
60,17661208,0.5218452927543836
267,26240289,0.5187810527554116
74,18252146,0.5132474668188953
31,16287112,0.5076920649615684
52,17450496,0.5074285571681405
99,19248972,0.5069399736066402
211,24585406,0.5045674102892412
37,16534250,0.5019199550449551
32,16357454,0.5010485303564399
26,15966213,0.49905572070206217
38,16618383,0.49658685590503776
127,20627894,0.49556141732067654
28,16173832,0.4942515262515262
6,12394270,0.49424881500774354
3,12174137,0.49395372374539037
203,24061512,0.493110974292293
12,14717479,0.4921697977947978
56,17548322,0.4917786842786842
138,21337345,0.49156195018263976
273,26505450,0.4914257831209886
80,18409663,0.4900062129228796
11,14686698,0.4884756864265061
7,12783584,0.4877102064602064
21,15674500,0.487576046771449
151,22017446,0.4874924165872442
118,20183914,0.48744914155170566
5,12392638,0.48616249342055795
63,17686547,0.4856324775442422
171,22866155,0.48543409749292105
78,18394167,0.48271796509501425
119,20380258,0.4813026865110198
94,19006610,0.48059473859473856
137,21336183,0.4804134831218164
65,17922620,0.48005661005661004
4,12389876,0.4798630636259502
132,20979469,0.4775349106231459
2,11760588,0.47647569031497605
205,24300132,0.4744502292579216
245,25676400,0.47170787432057926
213,24674157,0.47146156480395607
62,17680243,0.4712437669168439
225,24982409,0.470754319557511
128,20726426,0.4701238245881103
106,19667264,0.46993668368668373
195,23617234,0.4698700990367657
206,24361161,0.4696899294121516
89,18594010,0.46951535877317124
125,20552223,0.4661415909927814
204,24155153,0.46538861560791384
152,22093639,0.4652450327450327
93,18981003,0.46512303283136613
98,19170230,0.46512275118044344
198,23714228,0.4651049202234547
29,16204927,0.46509379509379506
1,11572056,0.4644604527417027
85,18514701,0.4635329534883106
133,21107285,0.46218690017847325
246,25682925,0.46198942796424136
223,24935562,0.4619459244459244
174,22913857,0.4614888155984046
30,16237304,0.4611928195261529
154,22124476,0.4585117218639946
79,18407408,0.45842217746979647
259,25940171,0.4577653908794259
46,17106648,0.45735957164528596
81,18414414,0.4572994001436031
242,25609979,0.4570143398268398
201,23852459,0.4568781777385673
274,26514492,0.45684167924427665
147,21725039,0.45659453692858865
249,25708242,0.456533594354656
100,19272232,0.45612087342856567
220,24885803,0.4559395687055262
255,25823662,0.4559351225697379
66,17923802,0.45564116439116437
282,26720290,0.4554273217963694
257,25910841,0.4552024364524364
238,25514801,0.45469432713750896
207,24369725,0.453516395003464
180,23060582,0.4532517829392829
240,25558790,0.4529751399394256
236,25373537,0.45243434805934807
166,22613337,0.45117599791512836
43,16957967,0.4508869785185574
168,22771825,0.4508784810868144
120,20389135,0.45024145508016467
199,23769345,0.4501323592232683
71,18192072,0.44955211722038646
215,24760634,0.44850546100546096
216,24777808,0.44756852406852404
175,22964709,0.4474187093177478
40,16730855,0.4472341241010072
15,15010069,0.44635238098441554
34,16423961,0.4455803070386403
169,22772433,0.44511885550347086
179,23018906,0.4447693955634529
186,23341890,0.44476316366560276
124,20551113,0.4446123761599952
51,17430686,0.4442797265967997
161,22454182,0.44052107934221757
55,17545799,0.4384242538088692
57,17588355,0.438353182456956
184,23302304,0.43607594180510845
126,20624322,0.435761567926202
105,19430004,0.435694853579469
86,18519520,0.43521751579661183
253,25785456,0.4351575539075539
64,17761719,0.43490907240907234
44,17043284,0.4338917465811405
24,15735135,0.4328209801894012
156,22285168,0.43260230429561825
117,20166214,0.43239730948064276
50,17385949,0.43220668481967917
202,23931899,0.4321747672659131
164,22572723,0.43168971600789774
19,15532894,0.42925577200577203
41,16818686,0.4289440054280237
167,22752549,0.4284345064106968
208,24419423,0.42701048290334004
286,26805736,0.42531611627997173
42,16947044,0.424231857885704
107,19669326,0.4198474827641494
193,23533259,0.4186530848537428
308,AACR_2013-3394,0.41722041847041846
263,26019170,0.4164380559916274
104,19386350,0.415596956838154
112,19890095,0.41544842621765704
268,26278300,0.41535335058932
8,12867061,0.4153356975003316
108,19680293,0.41496395194311864
17,15492792,0.41393240282444826
315,AACR_2017-2081,0.4139220659790279
190,23453647,0.41391968995402095
73,18242762,0.4119684044026149
97,19147828,0.411920845076333
196,23664446,0.41078085587783864
155,22240786,0.40866404540799706
185,23328551,0.40688974049629784
280,26710868,0.4066761363636363
91,18760859,0.40621524639381784
277,26603857,0.406096460357824
14,14967958,0.40576635709969044
197,23708071,0.40571476479495344
82,18452216,0.40484318313265677
157,22296236,0.4047829009226068
243,25611025,0.4046695692128385
189,23443800,0.4041671355201575
95,19032370,0.40414491526991525
212,24598368,0.40410377486270344
232,25238939,0.40388651664693337
176,22986231,0.4029957151724394
130,20935334,0.4028020910713218
59,17625570,0.40275541897460915
247,25704901,0.4023758731348017
162,22483782,0.4019792360417361
116,20015198,0.40096181184634566
61,17667604,0.40057716203549537
170,22843788,0.40011403983443455
244,25629371,0.3993319210215397
87,18520300,0.3989613744322648
114,19949333,0.3984171567811274
58,17610986,0.39814577365405673
256,25839699,0.3977431272431272
326,ASCO_42544-74,0.39716730800064126
36,16503086,0.39490796365796366
153,22119437,0.39489600291683624
276,26571844,0.3943819792325227
200,23769348,0.39362943512249066
136,21258415,0.39313453002311693
67,17945377,0.3925303714143
271,26354324,0.3923137818971152
270,26352533,0.3920207078434927
160,22443647,0.39175460802747386
221,24916999,0.39039662462957914
148,21757253,0.3893425479590528
209,24435321,0.38872917474578866
110,19735005,0.38628742058974613
49,17356951,0.3836852783968168
275,26544515,0.38233980444506754
109,19690669,0.3801376401376401
219,24856155,0.37948763372870514
217,24840522,0.37559766183183907
113,19914780,0.3730759760521665
144,21627342,0.37267702535559677
188,23425902,0.3720610073406126
149,21933750,0.36934397546897546
316,ASCO_110355-132,0.36716444435194434
222,24934821,0.36700256265473663
214,24729716,0.3645136579206701
103,19383809,0.362848258950787
172,22908099,0.36251611393656846
258,25929953,0.3619091061055346
72,18227567,0.360504773004773
88,18593892,0.3596496064817982
27,16170192,0.35802930824860646
159,22443113,0.35717471503002324
241,25581823,0.3567461133637604
330,ASCO_80513-102,0.3559462562727487
320,ASCO_169345-176,0.35545866696434875
145,21656749,0.35503667233850156
115,20009909,0.35424414295382034
226,25096400,0.35365510369911773
269,26301689,0.3531647682382976
69,18166835,0.3520058705913969
248,25706305,0.3508193788454865
121,20418096,0.35020996631573553
218,24853389,0.34918905747030743
251,25735977,0.34768674122487675
287,26848271,0.3475411918013958
229,25120654,0.3466188325563325
210,24496003,0.34623553339212676
158,22311682,0.3459893171202695
77,18349856,0.34564269064269065
173,22912387,0.3454745173127526
143,21569690,0.34503161101718793
237,25458559,0.3448680337519623
111,19737969,0.34453247264030223
139,21368458,0.34421123384191565
252,25740311,0.3440985558981249
140,21415216,0.34392853389000644
35,16437930,0.3428899057931316
228,25101329,0.3422737563362563
224,24972969,0.3418755021433592
178,22999080,0.34183286756816167
304,AACR_2012-1232,0.3414175358371786
141,21420271,0.34088936087858496
279,26637922,0.34086460414585407
194,23561899,0.34065303909053907
284,26768165,0.3403038592154971
298,27588191,0.33948979261479256
187,23386065,0.33925135281385277
163,22568572,0.339177881694329
131,20954328,0.33693375374625373
283,26755435,0.33687542781292773
165,22594847,0.3353592562081368
233,25265433,0.3348833458208458
96,19064915,0.3348139013764013
135,21245935,0.33360726415161895
235,25360721,0.33256478208401274
142,21475126,0.3312864897783375
183,23301645,0.3310955180440474
264,26076736,0.33052686273840115
84,18509184,0.32443754162504157
129,20845798,0.32172118816855655
260,25960661,0.31955634825700613
0,11510027,0.31809589363937185
325,ASCO_33638-65,0.3168026472310509
288,26988828,0.3132263569763569
307,AACR_2013-1196,0.3118977723665223
234,25337876,0.31128243896626245
291,27060609,0.3111488845274222
332,ASCO_98145-114,0.30605541363643207
312,AACR_2015-4244,0.30506929413179407
182,23226067,0.3043838130765948
314,AACR_2016-677,0.30202913818985244
278,26622190,0.30106103387353383
302,27760592,0.30045320942498355
281,26712101,0.29688943303073734
265,26107243,0.29674555159752525
306,AACR_2012-4589,0.2966241331264805
303,27836576,0.2964137234716503
313,AACR_2016-269,0.2956272694746055
76,18320074,0.295516352106026
292,27103824,0.2950467118665648
294,27322143,0.29493381948739084
309,AACR_2013-4446,0.29365740222421255
250,25722667,0.2932225529100529
299,27659294,0.29252119408369404
310,AACR_2013-5591,0.29083742369905885
230,25144242,0.2897777029067613
150,22007174,0.2878817094486108
262,26018277,0.28598937803152913
261,25971657,0.282922382401549
331,ASCO_94519-114,0.28197959275384643
